height,weight,years,country
70.0,165.0,42.4440068026,USA
,,,
73.0,185.0,28.6303081725,IND
74.0,190.0,34.4960615972,SCT
,180.0,,USA
72.0,175.0,36.9618150218,USA
69.0,185.0,32.0001711862,TUR
72.0,170.0,,USA
67.0,155.0,29.8878424191,USA
,,22.1124999533,FRA
69.0,160.0,,DEU
70.0,160.0,28.1618150218,USA
69.0,170.0,,USA
70.0,173.0,34.1207191314,ESP
,,46.5124999533,PHL
71.0,198.0,48.4960615972,SCT
72.0,154.0,43.2741437889,IRL
70.0,175.0,34.5289383095,CAN
79.0,195.0,31.3700341999,USA
71.0,175.0,39.1234588574,USA
,,,
69.0,150.0,28.1070205013,KOR
,,23.6029109122,KOR
71.0,185.0,40.1398972136,SCT
72.0,170.0,26.9234588575,KOR
70.0,174.0,29.8111300903,KOR
75.0,200.0,39.8220889944,KOR
73.0,174.0,31.0412670766,KOR
,,,USA
70.0,,25.8385273506,KOR
68.0,165.0,30.0248287205,BRA
69.0,170.0,30.1481163917,USA
73.0,154.0,,CAN
,,,USA
,,23.7015410492,KOR
,,,USA
,,,USA
72.0,170.0,,CAN
74.0,215.0,,USA
74.0,200.0,33.676883515,AUS
,,33.0686643369,USA
71.0,172.0,32.6220889945,CHL
69.0,170.0,45.0412670766,USA
70.0,150.0,31.4330478986,MYS
75.0,183.0,37.1426369397,USA
,,43.4275684465,CAN
69.0,160.0,48.8193492684,FRA
70.0,155.0,33.0330478986,USA
72.0,190.0,26.9015410493,FRA
,,,USA
76.0,210.0,,USA
,,,
,,27.3946917342,ENG
74.0,,,ENG
72.0,165.0,22.2988013232,CHN
68.0,160.0,38.9070205013,CHN
73.0,185.0,47.9261985835,USA
72.0,193.0,,USA
70.0,,,USA
74.0,170.0,32.6303081726,USA
68.0,175.0,29.9316780356,SWE
71.0,165.0,28.9508561178,USA
74.0,180.0,32.4494862547,USA
,,,
,,,USA
,,,USA
76.0,215.0,39.6193492684,USA
,,,USA
,,,USA
72.0,215.0,49.9590752958,AUS
73.0,,28.7289383095,USA
,,29.8988013232,USA
73.0,175.0,28.5919520082,USA
70.0,,25.276883515,USA
77.0,190.0,,USA
75.0,175.0,,USA
,,,USA
76.0,210.0,29.4248287205,USA
,,,
74.0,,,
,,,USA
,,,IRL
74.0,230.0,,USA
,,,USA
72.0,,30.2357876246,IRL
,,,USA
69.0,155.0,,USA
,,20.874143789,AUS
70.0,155.0,31.468664337,NLD
72.0,176.0,,ESP
73.0,220.0,41.6138698164,USA
76.0,220.0,32.172773926,AUS
74.0,235.0,35.8522259808,AUS
72.0,187.0,,GBR
75.0,168.0,43.6933218712,ENG
74.0,,,USA
71.0,170.0,42.7535958438,USA
,,,
74.0,190.0,34.7782533781,USA
69.0,155.0,,USA
,,29.2138698164,DNK
72.0,180.0,,FRA
69.0,165.0,,USA
72.0,,22.9700342,USA
,,,USA
71.0,175.0,35.1152396794,USA
70.0,150.0,,USA
72.0,165.0,37.7590752959,USA
,,,USA
71.0,198.0,49.668664337,SGP
73.0,,24.1837328301,ITA
76.0,195.0,36.7234588575,USA
,,,USA
72.0,180.0,37.3015410493,USA
,,,USA
73.0,150.0,,THA
73.0,,,USA
,,,USA
68.0,160.0,,USA
72.0,,30.068664337,USA
71.0,175.0,29.8357876247,USA
74.0,170.0,45.0768835151,USA
72.0,195.0,43.5453766658,USA
70.0,180.0,46.2933218712,JPN
67.0,185.0,47.8001711863,JPN
,,,USA
72.0,168.0,43.3508561178,USA
68.0,150.0,33.9344177616,JPN
71.0,170.0,25.3316780356,JPN
72.0,185.0,37.6385273507,USA
70.0,180.0,37.567294474,USA
73.0,185.0,49.7124999534,USA
73.0,190.0,30.6166095425,USA
67.0,155.0,48.7344177617,USA
69.0,195.0,,USA
,,20.4905821452,ITA
,,,USA
70.0,190.0,,USA
,,,
70.0,170.0,,USA
,,,USA
,,,USA
72.0,195.0,44.7837328302,USA
73.0,185.0,,USA
,,,USA
,,,USA
70.0,155.0,26.2330478986,USA
73.0,220.0,,USA
,,,USA
,,,USA
71.0,135.0,23.3837328302,USA
,,,USA
71.0,168.0,37.9152396795,NIR
74.0,,,USA
67.0,161.0,,IRL
68.0,200.0,38.0220889945,USA
73.0,200.0,,USA
68.0,160.0,46.2166095425,IRL
70.0,160.0,28.1453766658,NIR
74.0,,,USA
73.0,175.0,40.1398972137,SCT
73.0,165.0,38.1371574877,USA
72.0,165.0,43.4412670767,ZWE
,,,
71.0,,36.2385273507,SCT
,,,USA
72.0,173.0,36.9289383096,USA
,,,USA
73.0,,,USA
72.0,170.0,41.7426369398,USA
70.0,170.0,36.0248287206,CAN
71.0,155.0,49.1152396795,USA
73.0,190.0,,USA
75.0,209.0,32.9344177617,THA
74.0,200.0,32.1015410494,USA
73.0,170.0,35.2741437891,USA
72.0,160.0,31.6714040631,USA
71.0,170.0,,USA
72.0,185.0,48.4851026932,USA
75.0,200.0,47.0412670768,USA
76.0,220.0,27.4056506384,USA
69.0,155.0,27.8138698165,USA
,,,
,160.0,,USA
,,,USA
,,,SCT
74.0,210.0,32.9782533781,USA
75.0,220.0,27.1563355699,USA
70.0,183.0,39.3152396795,CAN
,,,USA
73.0,180.0,24.9837328302,USA
73.0,,46.2412670768,USA
71.0,,,JPN
71.0,160.0,37.0248287206,JPN
72.0,165.0,,USA
72.0,180.0,38.4193492685,USA
71.0,163.0,36.3755136521,ITA
72.0,159.0,34.6357876247,ITA
,,,USA
73.0,210.0,,SCT
73.0,185.0,27.4549657069,USA
,,32.1946917343,USA
71.0,160.0,47.1755136521,USA
69.0,170.0,34.561815022,USA
,,,USA
,,,PRI
,,,
,,,USA
69.0,170.0,,USA
69.0,160.0,48.063184885,USA
,,,
71.0,178.0,32.4220889946,ENG
70.0,180.0,,USA
,,,USA
70.0,,48.7809931042,USA
,,,USA
,,,USA
74.0,210.0,,USA
73.0,200.0,38.8933218713,ZAF
,,,USA
67.0,161.0,22.3015410494,AUS
73.0,,23.7316780357,USA
,,,USA
68.0,170.0,39.3042807754,JPN
,,,USA
,,,USA
71.0,167.0,33.7837328302,KOR
71.0,175.0,34.4933218713,USA
76.0,197.0,28.764554748,USA
77.0,,,USA
,,,USA
,,21.4385273508,SCT
,,,USA
70.0,185.0,38.4905821453,USA
,,,USA
,,27.1864725563,USA
,,,
,,,USA
76.0,185.0,23.8905821453,USA
,,,USA
,,,
,,,USA
,,28.6357876248,AUS
73.0,180.0,34.6796232412,AUS
72.0,200.0,,NZL
73.0,165.0,26.0768835152,KOR
71.0,169.0,34.961815022,SWE
76.0,210.0,30.257705433,SWE
,,35.0823629672,USA
,,,USA
,,,USA
,,,USA
,,,USA
74.0,165.0,34.964554748,USA
72.0,165.0,45.7015410494,AUS
72.0,195.0,,USA
72.0,170.0,43.9070205015,USA
72.0,185.0,42.4056506385,USA
70.0,170.0,,USA
,,,USA
,,,JPN
71.0,200.0,40.5453766659,JPN
70.0,165.0,43.2275684467,USA
74.0,180.0,40.0494862549,AUS
72.0,220.0,,USA
71.0,175.0,36.2522259809,USA
,,,
,,,USA
,,,USA
70.0,160.0,,ESP
69.0,154.0,27.5124999535,DNK
74.0,205.0,50.4659246111,USA
,,,
,,,USA
,,,
,,,USA
70.0,160.0,34.6905821453,ZAF
70.0,165.0,37.460445159,USA
67.0,158.0,30.9207191316,ESP
,,,USA
69.0,160.0,37.2440068029,AUS
72.0,150.0,26.1727739262,MEX
69.0,,32.6248287207,USA
74.0,,35.7645547481,ENG
,,,
,,,USA
,,,USA
,,,USA
69.0,181.0,41.0111300905,ZAF
76.0,195.0,34.0851026933,USA
76.0,212.0,45.3618150221,ENG
,,,USA
,,32.7179794056,ENG
71.0,175.0,40.7755136522,USA
70.0,175.0,47.7700342001,AUS
,,25.6193492686,TWN
,,,USA
,,24.6905821453,USA
75.0,220.0,47.1508561179,ZAF
,,,USA
,,41.75633557,USA
,,,KOR
68.0,160.0,37.7124999536,KOR
67.0,160.0,31.0494862549,JPN
,,,USA
72.0,175.0,,SWE
73.0,197.0,,CAN
66.0,175.0,,AUS
67.0,140.0,30.6083903645,GBR
,,,USA
,,,
72.0,200.0,,USA
69.0,180.0,46.5042807755,USA
74.0,180.0,28.1645547481,ITA
69.0,155.0,,USA
,,,USA
,,,USA
,,,USA
,,,
73.0,205.0,26.0741437892,CAN
73.0,160.0,26.4905821454,USA
,,,USA
72.0,165.0,43.153595844,AUS
,,40.3645547481,ESP
,,,USA
72.0,190.0,41.3289383098,USA
70.0,175.0,,USA
73.0,195.0,,USA
74.0,205.0,,USA
,,,
,,,
,,,USA
70.0,155.0,,USA
,,,
72.0,160.0,40.2960615974,USA
71.0,165.0,28.1892122824,USA
,,29.4686643372,USA
74.0,195.0,,USA
71.0,195.0,39.8330478988,SWE
,,,USA
72.0,185.0,38.6440068029,USA
,,25.4111300906,BEL
,,,USA
69.0,160.0,31.6166095426,USA
,,,USA
73.0,195.0,40.5755136522,USA
,,,
,,,USA
70.0,160.0,33.3179794057,USA
,,,USA
73.0,,27.4385273509,ENG
,,,ZAF
73.0,,,USA
74.0,185.0,30.846746529,USA
70.0,200.0,33.6330478988,USA
73.0,189.0,41.4686643372,ENG
75.0,190.0,30.2878424194,IRL
,,,USA
75.0,210.0,38.2604451591,AUS
,,,
72.0,175.0,35.1453766659,AUS
72.0,190.0,,ZAF
72.0,175.0,47.9618150221,USA
,,,USA
,,,USA
70.0,175.0,32.8193492687,USA
,,36.0248287207,USA
,,,USA
70.0,180.0,43.8741437892,USA
72.0,210.0,,USA
73.0,170.0,,USA
76.0,215.0,34.0741437892,USA
69.0,,39.4905821454,PHL
71.0,160.0,47.8686643372,USA
72.0,175.0,,USA
73.0,190.0,38.6138698166,USA
75.0,182.0,34.4330478988,ESP
,,,USA
75.0,,,ESP
63.0,185.0,32.6001711865,BGD
,,22.3124999536,ENG
,,31.2933218714,USA
72.0,,24.8933218714,USA
70.0,175.0,32.2604451591,USA
69.0,154.0,34.0357876249,SCT
,,,SCT
,,,USA
,,,
,,,USA
74.0,205.0,32.6056506386,USA
,,,USA
69.0,160.0,35.6248287208,USA
,,,USA
70.0,170.0,25.9261985838,USA
72.0,200.0,26.8905821454,USA
70.0,,32.0138698167,USA
74.0,175.0,33.7070205016,USA
72.0,175.0,,CAN
70.0,175.0,,USA
73.0,210.0,33.6577054331,USA
,,,USA
74.0,195.0,32.5590752961,ENG
,,,
73.0,185.0,42.8111300906,USA
71.0,160.0,43.5590752961,USA
,,,USA
,,,
,,,
72.0,,32.2248287208,FRA
,,,USA
,,,USA
73.0,185.0,,USA
73.0,185.0,39.6029109126,BRA
70.0,168.0,40.2303081728,ENG
72.0,,41.3179794057,ENG
,,,USA
,,,USA
,,,USA
,,,USA
,,,
72.0,200.0,42.0138698167,USA
70.0,165.0,36.1398972139,ARG
75.0,185.0,36.9124999537,ZAF
,,24.4029109126,DEU
72.0,,44.3864725564,
71.0,185.0,27.6357876249,COL
,,,MEX
71.0,152.0,39.9234588578,AUS
,,,USA
,,28.6111300907,USA
69.0,170.0,,USA
74.0,,,USA
69.0,180.0,35.8029109126,KOR
67.0,155.0,31.4001711865,ARG
70.0,165.0,41.241267077,ZAF
,,,USA
71.0,183.0,31.6248287208,USA
,,,USA
,,,USA
,,,
,330.0,,USA
70.0,,,
73.0,,34.8056506386,PRT
,,,USA
68.0,150.0,,USA
72.0,175.0,29.9097602277,USA
67.0,,,USA
,,,USA
73.0,,,USA
,,,USA
,,,USA
,,21.0083903646,USA
,,,USA
72.0,210.0,46.948116392,USA
,,,USA
71.0,155.0,44.1289383099,USA
,,,USA
,,,USA
70.0,150.0,,USA
,,24.0275684468,USA
71.0,175.0,24.9070205016,USA
69.0,,,USA
70.0,180.0,44.2549657071,USA
71.0,160.0,29.1700342003,USA
74.0,250.0,45.7755136523,ZAF
,,,AUT
71.0,146.0,32.8220889948,ZAF
72.0,170.0,36.9508561181,AUS
71.0,180.0,33.8796232414,USA
74.0,185.0,25.8714040633,USA
75.0,193.0,46.1974314605,AUS
,,28.939897214,ENG
,,,MEX
71.0,170.0,39.1371574879,MEX
,,,USA
71.0,190.0,47.8933218715,USA
73.0,180.0,40.4220889948,AUS
,,,USA
71.0,175.0,,USA
72.0,,,USA
,,,USA
,,,HKG
,,26.1289383099,KOR
,,,USA
,,24.0933218715,ENG
72.0,190.0,,USA
74.0,165.0,36.9535958441,DEU
,,,USA
72.0,170.0,30.641267077,USA
72.0,150.0,32.6768835154,SCT
74.0,175.0,31.8851026934,USA
72.0,165.0,45.54263694,IND
74.0,208.0,,FJI
,,33.939897214,ENG
68.0,165.0,,USA
,,,
69.0,165.0,,USA
72.0,175.0,35.4029109126,ENG
74.0,175.0,30.1179794058,CAN
68.0,150.0,43.4029109126,USA
73.0,170.0,,USA
,,,USA
,,,USA
68.0,,,USA
72.0,185.0,36.244006803,USA
,,23.8522259811,AUS
71.0,190.0,48.2111300907,USA
73.0,180.0,,USA
,,,USA
76.0,220.0,31.5261985839,USA
74.0,165.0,33.8905821455,USA
73.0,160.0,38.8960615976,USA
,,,USA
,,,USA
,,,USA
70.0,220.0,44.3316780359,USA
71.0,150.0,,USA
73.0,185.0,36.5535958441,USA
,,,USA
74.0,225.0,44.0631848852,USA
,,,USA
,,25.9316780359,KOR
75.0,190.0,,USA
,,,USA
,,24.6741437894,FRA
,,,USA
,,,USA
,,,ENG
72.0,230.0,49.0604451592,USA
68.0,165.0,26.8467465291,USA
,,,USA
,,,AUS
73.0,135.0,23.9124999537,USA
74.0,,19.8111300907,USA
,,,USA
70.0,250.0,,USA
70.0,250.0,37.3946917346,USA
,,,USA
72.0,195.0,32.2577054332,USA
67.0,155.0,,FRA
72.0,190.0,,USA
,,,USA
73.0,185.0,47.5782533784,USA
71.0,140.0,29.6029109127,USA
71.0,185.0,,USA
74.0,170.0,34.2303081729,USA
74.0,205.0,29.0220889949,USA
,,25.6851026935,USA
75.0,180.0,33.9892122825,USA
,,45.4988013236,USA
74.0,190.0,41.233047899,SWE
67.0,150.0,35.835787625,ZAF
,,,USA
72.0,168.0,33.0933218716,SCT
,,,USA
75.0,215.0,44.0796232414,USA
71.0,170.0,,USA
72.0,180.0,,USA
71.0,180.0,47.1426369401,AUS
73.0,29.0,32.9508561182,USA
,,27.5097602277,ZAF
70.0,174.0,39.2960615976,ENG
72.0,168.0,40.2275684469,AUS
70.0,165.0,30.2220889949,USA
70.0,175.0,38.6494862551,USA
72.0,190.0,50.3535958442,USA
77.0,190.0,31.4467465291,USA
74.0,180.0,35.3974314606,USA
70.0,165.0,34.5481163921,USA
,,,USA
,,,ESP
,,,USA
,,,USA
69.0,159.0,31.1070205017,ENG
73.0,185.0,,USA
,,,USA
68.0,205.0,33.5700342004,USA
72.0,,,USA
,,,USA
73.0,185.0,,USA
,,23.4823629675,CAN
69.0,200.0,37.7398972141,USA
74.0,200.0,29.7974314606,USA
,,,USA
,,26.6166095428,PHL
69.0,165.0,39.3755136524,JPN
67.0,146.0,37.4193492689,JPN
75.0,180.0,42.3042807757,USA
65.0,157.0,49.3892122826,JPN
70.0,175.0,45.6686643374,NZL
72.0,,,ENG
,,,CAN
72.0,150.0,41.3070205017,USA
70.0,180.0,38.230308173,USA
,,,USA
75.0,195.0,,USA
67.0,176.0,48.7070205017,JPN
69.0,185.0,40.2166095428,USA
75.0,,,USA
72.0,165.0,24.1563355702,USA
74.0,185.0,40.6412670771,USA
72.0,,24.531678036,USA
70.0,165.0,38.1782533785,USA
,,27.8166095428,USA
72.0,185.0,32.1974314607,USA
72.0,185.0,34.5070205018,USA
,,20.2029109127,USA
74.0,161.0,40.2823629675,ENG
,,18.6631848853,CHN
72.0,170.0,44.7535958442,USA
75.0,180.0,31.931678036,USA
,,31.6823629675,USA
69.0,160.0,,MEX
,,,JPN
70.0,160.0,50.4905821456,USA
71.0,160.0,27.7070205018,USA
75.0,185.0,36.526198584,USA
,,,USA
,,36.7809931045,AUT
,,,
,,,
74.0,185.0,29.8412670771,USA
75.0,200.0,,USA
70.0,175.0,,USA
77.0,185.0,,USA
76.0,205.0,50.4604451593,USA
,,,
,,,JPN
70.0,210.0,42.3234588579,USA
72.0,190.0,39.2796232415,USA
76.0,195.0,,USA
,,,USA
73.0,185.0,31.9124999538,USA
69.0,180.0,43.3097602278,JPN
74.0,155.0,27.824828721,USA
73.0,,,USA
,,,
66.0,175.0,48.9097602278,USA
68.0,,,CHL
,,,
72.0,175.0,,USA
72.0,175.0,35.4741437895,ZAF
78.0,238.0,34.3755136525,ZAF
73.0,189.0,42.7618150223,ZAF
76.0,200.0,42.1234588579,USA
,,,USA
,,,ZAF
70.0,170.0,38.3453766662,ZAF
,,,
69.0,165.0,26.8631848853,USA
69.0,154.0,26.633047899,MEX
69.0,190.0,,USA
74.0,230.0,32.8549657073,VEN
,,,USA
69.0,165.0,,USA
,,,USA
69.0,155.0,28.6714040634,MEX
69.0,160.0,35.4714040634,COL
,,,COL
,,,ZWE
,,,USA
,,,USA
,,,USA
,,,USA
65.0,142.0,28.52893831,THA
75.0,230.0,37.2659246114,USA
73.0,185.0,,NZL
74.0,155.0,43.2111300908,ENG
72.0,225.0,,USA
,,,USA
74.0,180.0,38.4494862552,USA
74.0,196.0,42.0878424196,ENG
,,,
,,,USA
,,,CAN
,,,KOR
,,,USA
68.0,160.0,42.024828721,USA
71.0,168.0,36.2412670771,SCT
68.0,165.0,34.92893831,USA
74.0,180.0,36.1755136525,USA
75.0,180.0,38.6467465292,USA
69.0,175.0,,USA
,,27.1316780361,AUS
69.0,160.0,26.4577054333,FRA
,,,
,,,USA
,,26.2056506388,USA
68.0,154.0,42.4494862552,ENG
72.0,210.0,43.9371574881,USA
73.0,165.0,37.5672944744,USA
69.0,,47.9755136525,USA
,,,USA
69.0,155.0,47.1371574881,CAN
,,25.5097602278,USA
70.0,,,USA
72.0,205.0,44.1837328306,ENG
72.0,205.0,43.8905821457,USA
75.0,215.0,39.3508561183,USA
71.0,170.0,26.7097602278,CAN
71.0,150.0,30.8467465292,USA
,,25.7398972142,USA
70.0,175.0,45.4905821457,KOR
,,,
75.0,250.0,,USA
74.0,190.0,31.7179794059,AUT
,,,USA
,,,USA
67.0,160.0,38.926198584,NZL
71.0,170.0,29.7316780361,ENG
71.0,160.0,,USA
,,17.4768835155,USA
72.0,,35.5015410498,USA
,,,USA
70.0,180.0,50.3974314607,USA
76.0,170.0,26.926198584,USA
73.0,175.0,43.6056506388,USA
73.0,,37.2823629676,ENG
71.0,175.0,24.6440068032,USA
73.0,165.0,32.6960615977,USA
72.0,175.0,47.5371574881,USA
68.0,145.0,42.6631848854,USA
71.0,168.0,36.7864725566,ENG
,,,USA
,,,USA
68.0,158.0,32.5727739265,USA
,,,USA
,,,CAN
,,,USA
77.0,189.0,29.5837328306,ENG
67.0,145.0,,USA
,,,
73.0,200.0,33.1015410498,USA
73.0,185.0,41.4988013238,USA
71.0,,,USA
70.0,150.0,,USA
64.0,167.0,,WLS
,,,USA
,,,USA
72.0,,23.6275684471,USA
64.0,,32.0138698169,CHN
71.0,,,USA
,,,MEX
71.0,165.0,23.7344177621,KOR
69.0,195.0,45.4577054334,KOR
69.0,140.0,39.9809931046,JPN
71.0,205.0,26.0851026937,USA
,,,USA
68.0,150.0,44.9344177621,JPN
71.0,170.0,30.2878424197,AUS
,,,ENG
,,,
,,20.8549657074,USA
66.0,155.0,34.1042807758,PRY
,,,USA
72.0,165.0,,CHN
,,,CHN
,,25.4960615978,AUS
,,,CAN
