dob,height,hometown,name,weight
,"5'10""",USA,"Janneck,Frederick",
8/28/64,"6'0""","Austin,USA","Janzen,Lee",175lbs
11/25/75,"5'9""",AUS,"Jeffress,Steven",182lbs
,"6'3""",USA,"Jenkins,Carter",165lbs
6/9/84,"6'2""",DNK,"Jensen,Lasse",
,,PAK,"Jeong,Jin",
,,,"Jertson,Marty",
1/5/64,"5'10""","Malaga,ESP","Jimenez,MiguelAngel",162lbs
6/3/98,,CHN,"Jin,Cheng",
8/1/65,"5'11""","OklahomaCity,USA","Jobe,Brandt",180lbs
,,USA,"Johnson,Audie",
6/22/84,"6'4""","Columbia,USA","Johnson,Dustin",190lbs
4/25/67,"6'0""","Plymouth,USA","Johnson,Kevin",200lbs
,,"Birmingham,USA","Johnson,Michael",
,,"RiverFalls,USA","Johnson,Neil",
10/15/76,"5'7""","Stockholm,SWE","Johnson,RichardS",145lbs
8/19/81,"6'2""","Sacramento,USA","Johnson,Tom",180lbs
2/24/76,"5'11""","CedarRapids,USA","Johnson,Zach",160lbs
2/18/89,"5'9""",ENG,"Johnston,Andrew",211lbs
,,"BaskingRidge,USA","Jones,Brett",
1/8/67,"5'8""","Portales,USA","Jones,Kent",150lbs
7/15/93,"5'10""","Victorville,USA","Jones,Kyle",
4/19/80,"6'0""","Sydney,AUS","Jones,Matt",170lbs
,,AUS,"Jones,Steven",
,,USA,"Jordan,Austin",
,,"Toronto,CAN","Jung,Richard",
4/7/85,,"Sacramento,USA","Justesen,Erick",
,"6'0""",USA,"Juszczyk,Joseph",190lbs
2/13/82,"6'0""","Espoo,FIN","Kakko,Roope",170lbs
10/2/68,"5'9""","Portland,USA","Kanada,Craig",150lbs
6/24/90,"5'10""","SanFrancisco,USA","Kang,Alex",160lbs
6/4/87,"5'8""","Jeju,KOR","Kang,Sung-Hoon",165lbs
2/12/82,"5'10""","NewDehli,IND","Kapur,Shiv",163lbs
12/1/86,"5'11""","Gothenburg,SWE","Karlberg,Rikard",161lbs
,,,"Karlsson,Jeff",
9/3/69,"6'5""","Katrineholm,SWE","Karlsson,Robert",198lbs
,,USA,"Kataoka,Daisuke",
5/2/66,"6'0""","Arlington,USA","Kaufman,Chris",190lbs
3/23/92,"6'1""","Birmingham,USA","Kaufman,Smylie",
6/25/93,"5'6""",JPN,"Kawamura,Masahiro",159lbs
8/2/70,"5'10""","Denver,USA","Kaye,Jonathan",165lbs
12/28/84,"6'0""","Dusseldorf,DEU","Kaymer,Martin",165lbs
,,,"Kearney,Thomas",
11/23/66,"5'11""","Madison,USA","Kelly,Jerry",165lbs
12/15/92,"5'9""","Bradenton,USA","Kelly,Sean",175lbs
8/2/78,"6'2""","Tacoma,USA","Kelly,Troy",210lbs
9/9/64,"5'8""","Milwaukee,USA","Kendall,Skip",150lbs
,,USA,"Kennedy,Blake",
,"5'10""","Woodland,USA","Kennedy,RyanB.",200lbs
,,,"Kennerly,Billy",
6/16/72,"6'3""","Epping,WLS","Khan,Simon",196lbs
5/3/99,,THA,"Khongwatmai,Phachara",
,,DEU,"Kieffer,Maximilian",
10/22/81,"6'1""","SanDiego,USA","Killeen,J.J.",190lbs
,,USA,"Killpack,Nick",
,"5'9""","Fullerton,USA","Kim,Alex",140lbs
6/19/85,"5'10""","LosAngeles,USA","Kim,Anthony",160lbs
8/21/90,"6'0""","Seoul,KOR","Kim,Bi-o",178lbs
,,,"Kim,Bo",
,,USA,"Kim,Chan",
5/12/80,"5'8""",KOR,"Kim,Hyung-Sung",
9/27/77,,KOR,"Kim,Hyung-Tae",
2/9/86,"5'10""","KangwonProvince,KOR","Kim,K.T.",160lbs
,,,"Kim,Kenny",
,,USA,"Kim,Lion",
7/14/93,"5'11""","DelMar,USA","Kim,Michael",150lbs
,,USA,"Kim,SiWoo",
,,KOR,"Kim,Sihwan",
2/22/92,"5'11""","Seoul,KOR","Kim,Whee",172lbs
,"6'0""","Hillard,USA","Kinkopf,Michael",179lbs
,,ENG,"Kinnear,Paul",
5/8/85,"6'3""","Knoxville,USA","Kirk,Chris",175lbs
2/15/84,"5'10""","Aiken,USA","Kisner,Kevin",165lbs
1/14/93,"5'7""","Chico,USA","Kitayama,Kurt",155lbs
3/3/86,,"Tuscaloosa,USA","Kizzire,Patton",
5/17/75,"5'7""","Arhos,DNK","Kjeldsen,Soren",147lbs
,"5'11""","CostaMesa,USA","Knapp,Jake",160lbs
,"6'1""","Naperville,USA","Knoll,Raymond",
6/26/85,"5'9""","Cleveland,USA","Knost,Colt",215lbs
,,USA,"Knous,Jim",
6/21/85,"5'10""","Inverness,SCT","Knox,Russell",155lbs
1/24/76,"5'11""","Lubbock,USA","Knutzon,Jason",160lbs
,,JPN,"Kobayashi,Masanori",
9/11/89,"5'6""","Tokyo,JPN","Kodaira,Satoshi",154lbs
5/3/90,"6'0""","Wellington,USA","Koepka,Brooks",186lbs
8/11/87,"6'2""","Oslo,NOR","Kofstad,Espen",170lbs
2/24/90,"6'2""","Dallas,USA","Kohles,Ben",170lbs
3/19/80,"6'0""",ZAF,"Kok,Johan",
5/22/85,"6'4""","NorthBay,CAN","Kokrak,Jason",225lbs
6/17/77,"5'6""","Tokai,JPN","Kondo,Tomohiro",130lbs
7/23/80,"5'8""","Helsinki,FIN","Korhonen,Mikko",168lbs
,,"PalmBeachGardens,USA","Kozan,Andrew",
4/4/64,"5'11""","Detroit,USA","Kraft,Greg",180lbs
,,USA,"Kraft,Kelly",
6/26/52,"6'1""","Quantico,USA","Kratzert,Billy",205lbs
10/3/68,"6'0""","Lakewood,USA","Kresge,Cliff",185lbs
,,USA,"Krueger,Aaron",
,"5'9""","Lihue,USA","Kua,T.J.",
6/21/78,"6'4""","WinterPark,USA","Kuchar,Matt",195lbs
9/11/75,"6'2""","Dallas,USA","Kuehne,Hank",205lbs
8/15/71,,"Omaha,USA","Kurmel,Chad",
4/15/83,"6'0""","Brisbane,AUS","La'Cassie,Bronson",
1/19/75,"5'10""","Lansing,USA","LaBelleII,Doug",165lbs
,,,"Labritz,Rob",
11/8/88,"6'1""",IND,"Lahiri,Anirban",185lbs
12/29/82,"6'2""","Glasgow,SCT","Laird,Martin",190lbs
,,"SouthBend,USA","Lamb,Rick",180lbs
7/12/80,"6'0""","Belleville,USA","Lamely,Derek",175lbs
6/27/85,"5'9""","Izmir,TUR","Lamontagne,Steve",185lbs
9/13/62,"6'0""","Smithfield,USA","Lancaster,Neal",170lbs
8/7/87,"5'7""","Groves,USA","Landry,Andrew",155lbs
5/15/95,,FRA,"Langasque,Romain",
8/27/57,"5'9""","Anhausen,DEU","Langer,Bernhard",160lbs
4/28/89,"5'10""","Manchester,USA","Langley,Scott",160lbs
4/29/65,"5'9""","NewYork,USA","Lardon,Brad",170lbs
5/15/83,"5'10""","Barcelona,ESP","Larrazabal,Pablo",173lbs
12/26/70,,"Manila,PHL","Lascuna,Antonio",
1/1/69,"5'11""","Aberdeen,SCT","Lawrie,Paul",198lbs
3/22/74,"6'0""","Dublin,IRL","Lawrie,Peter",154lbs
12/17/82,"5'10""","Toronto,CAN","Laws,Peter",175lbs
2/12/86,"6'7""","Pasdena,USA","Leaver,Grant",195lbs
5/15/78,"5'11""","PalmBeach,USA","LeBrun,Steve",175lbs
,,,"Ledesma,NelsonLautaro",
5/18/89,"5'9""",KOR,"Lee,BeonYeong",150lbs
11/17/93,,KOR,"Lee,Chang-woo",
5/9/77,"5'11""","Stirling,SCT","Lee,Craig",185lbs
7/24/90,"6'0""","Seoul,KOR","Lee,Danny",170lbs
9/4/87,"5'10""","Seoul,KOR","Lee,DongHwan",174lbs
9/2/77,"6'3""","Seoul,KOR","Lee,Han",200lbs
6/12/86,"6'1""","Seoul,KOR","Lee,Junhak",174lbs
,,USA,"Lee,KiTaek",
8/24/91,"5'10""",KOR,"Lee,Kyoung-hoon",
6/18/87,"5'8""","SaoPaulo,BRA","Lee,Lucas",165lbs
5/4/87,"5'9""","Chicago,USA","Lee,RichardH.",170lbs
,"6'1""","Vancouver,CAN","Lee,RichardT.",154lbs
,,USA,"Lee,Sang-hee",
10/12/93,,KOR,"Lee,Soomin",
,,USA,"Lee,Steve",
,,USA,"Lee,Walker",
9/23/65,"6'0""","Cambridge,CAN","Leggatt,Ian",170lbs
3/7/59,"6'2""","Austin,USA","Lehman,Tom",215lbs
10/24/83,"6'2""","Warrnambool,AUS","Leishman,Marc",200lbs
6/2/84,,"GrossPointeShores,USA","Lenahan,Ryan",
11/12/84,"5'11""","Santiago,CHL","Leon,Hugo",172lbs
6/15/72,"5'9""","Dallas,USA","Leonard,Justin",170lbs
1/20/86,"5'10""","Sabah,MYS","Leong,Ben",150lbs
5/7/80,"6'3""","Richmond,USA","Letzig,Michael",183lbs
1/25/74,,"Price,CAN","Levesque,Dave",
9/5/68,"5'9""","Paris,FRA","Levet,Thomas",160lbs
6/15/84,"5'10""","Sacramento,USA","Levin,Spencer",155lbs
8/1/90,"6'0""",FRA,"Levy,Alexander",190lbs
,,USA,"Lewallen,Rick",
7/18/60,"6'4""","Emporia,USA","Lewis,J.L.",210lbs
,,,"Lewis,Randal",
2/2/90,,ENG,"Lewis,Tom",
,"6'2""",ENG,"Lewton,Steve",
3/8/95,"6'0""","Hunan,CHN","Li,Hao-Tong",165lbs
8/2/78,"5'8""","Zhongshan,CHN","Liang,Wen-Chong",160lbs
7/28/69,"6'1""","Middletown,USA","LickliterII,Frank",185lbs
,"6'0""","Massillion,USA","Light,Tyler",193lbs
,"5'10""",USA,"Lim,Thomas",
11/9/84,"6'2""","MissionViejo,USA","Lindheim,Nicholas",170lbs
7/22/87,"5'8""","Tranas,SWE","Lingmerth,David",175lbs
7/14/88,"5'11""","LosAngeles,USA","Lipsky,David",165lbs
1/14/85,"6'2""","Seattle,USA","List,Luke",180lbs
,,,"LittleII,JohnC.",
,,USA,"Littrell,Don",
,,USA,"Liu,Yan-Wei",
11/15/77,"6'4""","Dallas,USA","Loar,Edward",215lbs
,,USA,"Locke,Brian",
,,USA,"Lombard,Zander",
7/17/67,"6'0""","Sydney,AUS","Lonard,Peter",215lbs
10/3/88,"6'1""","Mandeville,USA","Looper,Ken",
8/3/87,,"Galveston,USA","Lopez,Lance",
11/22/88,"6'1""","BatonRouge,USA","Loupe,Andrew",175lbs
3/16/92,"5'10""","Trussville,USA","Love,Sam",
,"6'5""","SeaIsland,USA","Love,Dru",190lbs
4/13/64,"6'3""","Charlotte,USA","LoveIII,Davis",175lbs
,,USA,"LoveIV,Davis",
1/23/88,"6'4""","RanchoSantaFe,USA","Lovemark,Jamie",210lbs
,,,"Lowe,Cortland",
,"6'2""",,"Lowe,Mitch",
,,USA,"Lower,Justin",
,,IRL,"Lowery,Shane",
10/12/60,"6'2""","Birmingham,USA","Lowery,Steve",230lbs
,,USA,"Lowry,Randy",
4/2/87,"6'0""","Clara,IRL","Lowry,Shane",
,,"Honolulu,USA","Lu,Shawn",
,"5'9""","Sacramento,USA","Lucas,Kevin",155lbs
8/9/96,,AUS,"Luck,Curtis",
1/7/86,"5'10""","Bleiswijk,NLD","Luiten,Joost",155lbs
11/29/62,"6'0""","Madrid,ESP","Luna,Santiago",176lbs
11/18/75,"6'1""","SanDiego,USA","Lunde,Bill",220lbs
4/25/85,"6'4""","Adelaide,AUS","Lutterus,David",220lbs
8/21/81,"6'2""","Shepparton,AUS","Lyle,Jarrod",235lbs
2/9/58,"6'0""","Shrewbury,GBR","Lyle,Sandy",187lbs
10/20/73,"6'3""","Billinge,ENG","Lynn,David",168lbs
,"6'2""","LittleRock,USA","Mabrey,Matt",
9/28/74,"5'11""","Greenville,USA","MacKenzie,Will",170lbs
,,,"Macpherson,Bryden",
9/17/82,"6'2""","Pittsburgh,USA","MacWhinnie,Bobby",190lbs
,"5'9""",USA,"Madigan,Timothy",155lbs
4/9/88,,DNK,"Madsen,MortenOrum",
5/22/62,"6'0""","Paris,FRA","Magee,Andrew",180lbs
2/20/64,"5'9""","Columbia,USA","Maggert,Jeff",165lbs
7/6/94,"6'0""","St.Petersburg,USA","Maguire,Jack",
,,USA,"Maguire,MJ",
5/17/82,"5'11""","Orange,USA","Mahan,Hunter",175lbs
,"5'10""","Berkeley,USA","Main,Gregor",150lbs
9/25/79,"6'0""","Escondido,USA","Mallinger,John",165lbs
,,USA,"Malnati,Peter",
10/31/67,"5'11""","Singapore,SGP","Mamat,Mardan",198lbs
4/19/93,"6'1""","Verona,ITA","Manassero,Matteo",
10/7/80,"6'4""","GalivantsFerry,USA","Maness,Michael",195lbs
,,USA,"Marin,Chris",
3/10/80,"6'0""","Altus,USA","Marino,Steve",180lbs
,,USA,"Markle,David",
1/30/66,"6'1""",THA,"Marksaeng,Prayad",150lbs
8/4/54,"6'1""","Waterbury,USA","Marrello,Fran",
,,USA,"Marshall,Ian",
,"5'8""","Reno,USA","Marshall,Matt",160lbs
6/2/87,"6'0""","LibertyTownship,USA","Martin,Alex",
8/26/87,"5'11""","Greenwood,USA","Martin,Ben",175lbs
6/2/72,"6'2""","Eugene,USA","Martin,Casey",170lbs
12/13/73,"6'0""","Portland,USA","Martin,Jeff",195lbs
3/16/71,"5'10""","Aichi,JPN","Maruyama,Daisuke",180lbs
9/12/69,"5'7""","Chiba,JPN","Maruyama,Shigeki",185lbs
,,USA,"Mason,Nick",
2/22/74,"6'0""","Winston-Salem,USA","Mathis,David",168lbs
7/22/83,"5'8""","SaitamaPrefecture,JPN","Matsumura,Michio",150lbs
2/25/92,"5'11""","Matsuyama,JPN","Matsuyama,Hideki",170lbs
11/8/79,"6'0""","Rockledge,USA","Matteson,Troy",185lbs
12/4/79,"5'10""","GrandRapids,USA","Matthews,Andy",180lbs
10/15/67,"6'1""","Mineola,USA","Mattiace,Len",185lbs
11/14/86,"6'1""",USA,"Maurer,Brian",190lbs
10/6/68,"5'7""","Lynwood,USA","May,Bob",155lbs
8/6/66,"5'9""","Phoenix,USA","Mayfair,Billy",195lbs
12/27/96,,ITA,"Mazzoli,Stefano",
,,USA,"McCabe,Michael",
10/17/58,"5'10""","FortStockton,USA","McCallister,Blaine",190lbs
,,,"McCann,Brian",
7/10/65,"5'10""","Sacramento,USA","McCarron,Scott",170lbs
,,"Syracuse,USA","McCarthy,Dan",
,,"Rockville,USA","McCarthy,Denny",
9/17/72,"6'0""","IowaCity,USA","McCarty,Sean",195lbs
,"6'1""","Diboll,USA","McClain,Wesley",185lbs
,,USA,"McClellan,Robert",
,,USA,"McClintock,Ryan",
4/2/91,"5'10""",USA,"McConnell,Paul",155lbs
,"6'1""","Charlotte,USA","McCorkle,Todd",220lbs
,,USA,"McCormick,Mark",
,,"Middletown,USA","McCormick,Ryan",
2/5/94,"5'11""","Clarkesville,USA","McCoy,Lee",135lbs
,,"WestDesMoines,USA","McCoy,Michael",
7/30/79,"5'11""","Portush,NIR","McDowell,Graeme",168lbs
,"6'2""","SantaCruz,USA","McElyea,Cory",
12/16/66,"5'7""","Dublin,IRL","McGinley,Paul",161lbs
6/21/79,"5'8""","Fairmont,USA","McGirt,William",200lbs
2/5/65,"6'1""","Teaneck,USA","McGovern,Jim",200lbs
4/13/71,"5'8""","Meath,IRL","McGrane,Damien",160lbs
5/4/89,"5'10""","Holywood,NIR","McIlroy,Rory",160lbs
,"6'2""","Billings,USA","McIver,Brandon",
5/9/77,"6'1""",SCT,"McKechnie,Paul",175lbs
5/10/79,"6'1""","Honolulu,USA","McLachlin,Parker",165lbs
1/20/74,"6'0""","Triangle,ZWE","McLardy,Andrew",165lbs
,,,"McLean,Jon",
4/2/81,"5'11""","Peterhead,SCT","McLeary,Jamie",
,,USA,"McLister,Joey",
7/24/80,"6'0""","Harvard,USA","McLuen,Jay",173lbs
,,USA,"McNabb,David",
,"6'1""",USA,"McNealy,Maverick",
10/2/75,"6'0""","Naples,USA","McNeill,George",170lbs
6/19/81,"5'10""","Kingston,CAN","McQuillan,Matt",170lbs
5/20/68,"5'11""","Huntsville,USA","McRoy,Spike",155lbs
12/17/62,"6'1""","Greensburg,USA","Mediate,Rocco",190lbs
7/21/84,"6'3""","HuaHin,THA","Meesawat,Prom",209lbs
5/21/85,"6'2""","Chicago,USA","Meierdierks,Eric",200lbs
3/20/82,"6'1""","LongBeach,USA","Merrick,John",170lbs
10/25/85,"6'0""","Osage,USA","Merritt,Troy",160lbs
,"5'11""","SanDiego,USA","Meth,Byron",170lbs
1/5/69,"6'0""","Orlando,USA","Micheel,Shaun",185lbs
6/16/70,"6'3""","SanDiego,USA","Mickelson,Phil",200lbs
1/29/90,"6'4""","Philadelphia,USA","Miernicki,Daniel",220lbs
9/2/89,"5'9""","Murfreesboro,USA","Millard,Jason",155lbs
,,,"Miller,Andy",
,,"Timonium,USA","Miller,Brad",160lbs
,,USA,"Miller,Dennis",
4/22/51,,"Glasgow,SCT","Miller,Mike",
7/5/84,"6'2""","Greenbrae,USA","Miller,Zack",210lbs
4/30/90,"6'3""","Greenville,USA","Mills,Corbin",220lbs
3/6/78,"5'10""","Oshawa,CAN","Mills,Jon",183lbs
,,USA,"Mitchell,Jordan",
7/1/92,"6'1""","Chattanooga,USA","Mitchell,Keith",180lbs
4/4/71,"6'1""","Pinehurst,USA","Mitchum,Kelly",
,"5'11""",JPN,"Miyazato,Kiyoshi",
6/19/80,"5'11""","Okinawa,JPN","Miyazato,Yusaku",160lbs
9/23/58,"6'0""","Augusta,USA","Mize,Larry",165lbs
1/27/79,"6'0""","Harrison,USA","Molder,Bryce",180lbs
2/11/81,"5'11""","Turin,ITA","Molinari,Edoardo",163lbs
11/8/82,"6'0""","Turin,ITA","Molinari,Francesco",159lbs
,,USA,"Monagle,Colin",
6/23/63,"6'1""","Glasgow,SCT","Montgomerie,Colin",210lbs
1/11/90,"6'1""","Dallas,USA","Moon,Alex",185lbs
4/17/85,,"Oceanside,USA","Moore,Jonathan",
4/28/70,"5'11""","Austin,USA","Moore,Patrick",160lbs
12/5/82,"5'9""","Tacoma,USA","Moore,Ryan",170lbs
,,USA,"Moore,Taylor",
,,PRI,"Morales,Eric",
,,,"Morales,Wilfredo",
,,USA,"Moran,Scott",
